,Week,Genre,Play Share,Total Plays
309,2006-01-22,Rock,0.4827586206896552,29
310,2006-01-22,Hip Hop,0.034482758620689655,29
311,2006-01-22,Jazz,0.034482758620689655,29
312,2006-01-22,Electronic,0.034482758620689655,29
313,2006-01-29,other,0.1875,128
314,2006-01-29,Jazz,0.2109375,128
315,2006-01-29,Rock,0.390625,128
316,2006-01-29,Electronic,0.0859375,128
317,2006-01-29,Hip Hop,0.0234375,128
318,2006-01-29,Metal,0.015625,128
319,2006-01-29,folk,0.0546875,128
320,2006-01-29,Pop,0.0234375,128
321,2006-01-29,Indie,0.0078125,128
322,2006-02-05,Rock,0.4864864864864865,148
323,2006-02-05,Jazz,0.36486486486486486,148
324,2006-02-05,other,0.0945945945945946,148
325,2006-02-05,Hip Hop,0.006756756756756757,148
326,2006-02-05,folk,0.006756756756756757,148
327,2006-02-05,Indie,0.013513513513513514,148
328,2006-02-05,Pop,0.013513513513513514,148
329,2006-02-05,Electronic,0.013513513513513514,148
330,2006-02-12,Rock,0.38181818181818183,220
331,2006-02-12,Pop,0.05909090909090909,220
332,2006-02-12,Hip Hop,0.13636363636363635,220
333,2006-02-12,other,0.21363636363636362,220
334,2006-02-12,Jazz,0.06363636363636363,220
335,2006-02-12,folk,0.07272727272727272,220
336,2006-02-12,Electronic,0.03636363636363636,220
337,2006-02-12,Metal,0.013636363636363636,220
338,2006-02-12,Indie,0.022727272727272728,220
339,2006-02-19,Metal,0.0423728813559322,118
340,2006-02-19,other,0.1440677966101695,118
341,2006-02-19,Jazz,0.5508474576271186,118
342,2006-02-19,folk,0.03389830508474576,118
343,2006-02-19,Rock,0.1694915254237288,118
344,2006-02-19,Indie,0.025423728813559324,118
345,2006-02-19,Electronic,0.01694915254237288,118
346,2006-02-19,Pop,0.00847457627118644,118
347,2006-02-19,Hip Hop,0.00847457627118644,118
348,2006-02-26,other,0.3389830508474576,59
349,2006-02-26,Jazz,0.23728813559322035,59
350,2006-02-26,Pop,0.05084745762711865,59
351,2006-02-26,Hip Hop,0.05084745762711865,59
352,2006-02-26,folk,0.05084745762711865,59
353,2006-02-26,Rock,0.1864406779661017,59
354,2006-02-26,Electronic,0.03389830508474576,59
355,2006-02-26,Metal,0.05084745762711865,59
356,2006-03-05,other,0.4423076923076923,104
357,2006-03-05,Indie,0.08653846153846154,104
358,2006-03-05,Jazz,0.0673076923076923,104
